time,raw,degrees,calibrated
01:43:02.113,2661,175.45,2661
01:43:03.427,2662,175.52,2662
01:43:03.648,2663,175.58,2663
01:43:03.869,2664,175.65,2664
01:43:04.086,2665,175.71,2665
01:43:04.305,2685,177.03,2685
01:43:04.523,2746,181.05,2746
01:43:04.742,2752,181.45,2752
01:43:04.961,2754,181.58,2754
01:43:05.179,2807,185.08,2807
01:43:05.398,2852,188.04,2852
01:43:05.616,2855,188.24,2855
01:43:05.834,2919,192.46,2919
01:43:06.052,2964,195.43,2964
01:43:06.270,2972,195.96,2972
01:43:06.488,2975,196.15,2975
01:43:06.706,3061,201.82,3061
01:43:06.924,3102,204.53,3102
01:43:07.143,3121,205.78,3121
01:43:07.362,3215,211.98,3215
01:43:07.580,3234,213.23,3234
01:43:07.799,3236,213.36,3236
01:43:08.018,3311,218.31,3311
01:43:08.239,3341,220.29,3341
01:43:08.677,3347,220.68,3347
01:43:08.895,3348,220.75,3348
01:43:09.331,3349,220.81,3349
01:43:09.768,3387,223.32,3387
01:43:09.987,3427,225.96,3427
01:43:10.207,3428,226.02,3428
01:43:10.426,3430,226.15,3430
01:43:10.646,3470,228.79,3470
01:43:10.865,3561,234.79,3561
01:43:11.083,3604,237.63,3604
01:43:11.301,3699,243.89,3699
01:43:11.520,3771,248.64,3771
01:43:11.739,3802,250.68,3802
01:43:11.959,3850,253.85,3850
01:43:12.178,3899,257.08,3899
01:43:12.396,3935,259.45,3935
01:43:12.618,3961,261.16,3961
01:43:12.836,3988,262.95,3988
01:43:13.054,4036,266.11,4036
01:43:13.273,4082,269.14,4082
01:43:13.492,22,1.45,22
01:43:13.713,64,4.22,64
01:43:13.934,100,6.59,100
01:43:14.152,134,8.84,134
01:43:14.370,170,11.21,170
01:43:14.589,205,13.52,205
01:43:14.807,249,16.42,249
01:43:15.025,288,18.99,288
01:43:15.243,336,22.15,336
01:43:15.461,390,25.71,390
01:43:15.678,444,29.27,444
01:43:15.899,491,32.37,491
01:43:16.120,538,35.47,538
01:43:16.339,580,38.24,580
01:43:16.558,624,41.14,624
01:43:16.779,671,44.24,671
01:43:16.998,707,46.62,707
01:43:17.216,745,49.12,745
01:43:17.434,793,52.29,793
01:43:17.652,840,55.38,840
01:43:17.870,883,58.22,883
01:43:18.088,925,60.99,925
01:43:18.307,964,63.56,964
01:43:18.525,1007,66.4,1007
01:43:18.744,1054,69.49,1054
01:43:18.962,1094,72.13,1094
01:43:19.181,1139,75.1,1139
01:43:19.400,1185,78.13,1185
01:43:19.618,1218,80.31,1218
01:43:19.837,1217,80.24,1217
01:43:20.276,1220,80.44,1220
01:43:20.494,1223,80.64,1223
01:43:21.152,1251,82.48,1251
01:43:21.371,1381,91.05,1381
01:43:21.589,1496,98.64,1496
01:43:21.807,1582,104.31,1582
01:43:22.025,1634,107.74,1634
01:43:22.243,1647,108.59,1647
01:43:22.463,1648,108.66,1648
01:43:22.681,1649,108.73,1649
01:43:23.338,1650,108.79,1650
01:43:23.558,1651,108.86,1651
01:43:23.777,1746,115.12,1746
01:43:23.996,1832,120.79,1832
01:43:24.214,1865,122.97,1865
01:43:24.432,1920,126.59,1920
01:43:24.651,1967,129.69,1967
01:43:24.870,2012,132.66,2012
01:43:25.090,2072,136.62,2072
01:43:25.308,2129,140.37,2129
01:43:25.526,2205,145.38,2205
01:43:25.746,2297,151.45,2297
01:43:25.964,2380,156.92,2380
01:43:26.182,2393,157.78,2393
01:43:26.400,2394,157.85,2394
01:43:26.619,2395,157.91,2395
01:43:27.495,2393,157.78,2393
01:43:27.713,2392,157.71,2392
